Time: 2025/01/27 14:02:29
Temp (K), Mag (T), Start Mhz, Stop Mhz, Step Mhz, Cnt
0.000000E+0, 8.619282E-1, 3.000000E-1, 8.500000E+3, 8.499700E+3, 2001
S11,S21,S12,S22
-6.958909E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.578731E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.162777E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.893312E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.669111E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.419594E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.199498E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.135041E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.091167E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.917457E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.912476E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.983134E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.138736E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.332080E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.661525E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.839191E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.079579E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.166531E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.306274E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.481309E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.575227E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.738846E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.862556E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.005488E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.146157E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.287695E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.401731E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.520762E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.598849E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.722840E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.854963E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.039185E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.222060E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.352932E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.468283E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.551934E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.586952E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.621072E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.698118E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.774088E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.792963E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.818101E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.869355E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.901541E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.081364E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.240664E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.369655E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.523048E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.644491E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.711556E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.505103E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.193951E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.807515E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.453172E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.335668E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.248391E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.304809E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.579273E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.017673E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.555280E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.213716E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.551841E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.380364E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.123409E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.629383E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.429998E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.134879E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.571277E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.976277E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.311846E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.477727E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.614572E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.704443E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.776340E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.926525E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.072545E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.228745E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.395816E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.548586E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.743571E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.930283E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.131360E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.264788E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.297363E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.146786E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.982370E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.801747E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.716252E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.582001E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.429191E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.178069E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.693674E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.837594E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.882708E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.252981E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.138766E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.404936E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.826819E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.174285E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.351650E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.375834E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.410024E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.568457E-2,0.000000E+0,0.000000E+0,0.000000E+0
