Time: 2025/01/27 14:02:22
Temp (K), Mag (T), Start Mhz, Stop Mhz, Step Mhz, Cnt
0.000000E+0, 8.619282E-1, 3.000000E-1, 8.500000E+3, 8.499700E+3, 2001
S11,S21,S12,S22
-6.452429E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.323185E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.911796E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.642372E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.404459E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.117200E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.969922E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.878622E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.725234E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.704617E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.640570E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.713355E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.848248E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.024007E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.367061E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.607059E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.796728E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.898045E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.052170E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.176091E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.304845E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.442544E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.586677E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.728315E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.891229E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.998306E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.150287E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.250985E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.324764E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.419972E-2,0.000000E+0,0.000000E+0,0.000000E+0
