Time: 2025/01/27 14:02:28
Temp (K), Mag (T), Start Mhz, Stop Mhz, Step Mhz, Cnt
0.000000E+0, 8.619282E-1, 3.000000E-1, 8.500000E+3, 8.499700E+3, 2001
S11,S21,S12,S22
-6.806208E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.475573E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.062306E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.806815E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.592718E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.307028E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.102336E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.969293E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.887589E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.887769E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.825236E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.836856E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.060756E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.231126E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.575715E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.774311E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.008744E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.101424E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.278081E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.387232E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.489575E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.635857E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.776643E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.949969E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.088560E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.190862E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.357540E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.467238E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.523288E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.636379E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.798170E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.960091E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.155680E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.298506E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.398192E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.486191E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.501614E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.553402E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.597255E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.678055E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.674173E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.717550E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.761955E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.786147E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.990350E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.162116E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.275775E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.402787E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.535139E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.590855E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.389876E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.087710E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.713319E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.388233E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.262725E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.175663E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.223254E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.515149E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.948497E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.491350E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.148003E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.488051E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.313178E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.108930E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.615254E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.404531E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.091799E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.529422E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.922867E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.259333E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.430604E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.553574E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.618803E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.669439E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.820958E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.977251E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.131559E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.265824E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.452215E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.629358E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.811352E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.005954E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.180344E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.177689E-2,0.000000E+0,0.000000E+0,0.000000E+0
