Time: 2025/01/27 14:02:27
Temp (K), Mag (T), Start Mhz, Stop Mhz, Step Mhz, Cnt
0.000000E+0, 8.619282E-1, 3.000000E-1, 8.500000E+3, 8.499700E+3, 2001
S11,S21,S12,S22
-6.842909E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.481178E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.018375E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.810189E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.539340E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.283045E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.066412E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.970294E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.887364E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.811855E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.791236E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.824073E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.018797E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.229363E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.481739E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.725380E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.955077E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.024852E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.184189E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.325661E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.466883E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.596742E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.755494E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.893796E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.041747E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.151431E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.298029E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.398289E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.469467E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.604587E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.739165E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.917968E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.125278E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.249151E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.361689E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.434332E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.479595E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.506861E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.573127E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.658914E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.668256E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.691783E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.732061E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.775000E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.950714E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.131886E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.238680E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.356764E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.500538E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.555596E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.385531E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.056034E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.665307E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.347387E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.193628E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.110935E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.158495E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.417167E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.867200E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.404825E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.044950E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.383847E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.246758E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.063103E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.588528E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.363488E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.037491E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.478570E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.868316E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.200203E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.371600E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.496374E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.590563E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.660119E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.797301E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.945692E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.113827E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.244461E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.428872E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.610511E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.777665E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.986089E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.112435E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.134081E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.017019E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.839773E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.649906E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.555547E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.440530E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.276528E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.021070E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.540024E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.710985E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.782297E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.166474E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.058163E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.302396E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.718205E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.086030E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.254343E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.302610E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.305973E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.478358E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.723377E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.950193E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.127466E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.174013E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.162976E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.151930E-2,0.000000E+0,0.000000E+0,0.000000E+0
