Time: 2025/01/27 14:02:30
Temp (K), Mag (T), Start Mhz, Stop Mhz, Step Mhz, Cnt
0.000000E+0, 8.619282E-1, 3.000000E-1, 8.500000E+3, 8.499700E+3, 2001
S11,S21,S12,S22
-6.860609E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.571101E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.164505E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.945540E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.713631E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.490542E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.324628E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.205396E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.104005E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.073692E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.053489E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.109776E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.324480E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.510414E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.756663E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.001126E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.186462E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.258323E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.399768E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.551367E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.668375E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.800466E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.907172E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.037320E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.168503E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.276730E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.428622E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.524419E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.599897E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.732161E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.889467E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.048805E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.276274E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.410432E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.527528E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.627247E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.684665E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.728362E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.823557E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.911285E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.957431E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.988612E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.064510E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.110068E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.318058E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.499912E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.618849E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.781108E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.952295E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.008660E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.815535E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.513101E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.122481E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.806546E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.673011E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.590249E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.637831E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.866820E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.291985E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.796322E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.379651E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.711591E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.733987E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.805929E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.399202E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.100479E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.728654E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.115566E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.523219E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.845923E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.026963E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.141243E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.240361E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.302686E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.452357E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.607388E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.792622E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.909593E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.108377E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.281051E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.473576E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.672799E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.762239E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.786073E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.619371E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.441521E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.221537E-2,0.000000E+0,0.000000E+0,0.000000E+0
-9.087289E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.959687E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.766443E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.491215E-2,0.000000E+0,0.000000E+0,0.000000E+0
-8.032311E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.260555E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.412484E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.823208E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.707806E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.959489E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.306247E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.638913E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.784570E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.783457E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.791120E-2,0.000000E+0,0.000000E+0,0.000000E+0
-6.954414E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.200400E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.417860E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.571314E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.637610E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.635895E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.621337E-2,0.000000E+0,0.000000E+0,0.000000E+0
-7.597461E-2,0.000000E+0,0.000000E+0,0.000000E+0
