Time: 2025/01/27 14:02:34
Temp (K), Mag (T), Start Mhz, Stop Mhz, Step Mhz, Cnt
0.000000E+0, 8.619282E-1, 3.000000E-1, 8.500000E+3, 8.499700E+3, 2001
S11,S21,S12,S22
-6.803638E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.439206E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.000362E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.729438E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.501420E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.253641E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.046247E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.993737E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.860072E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.824125E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.804308E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.782940E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.946227E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.143523E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.467447E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.681318E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.859587E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.960776E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.121638E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.240607E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.340643E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.501385E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.605057E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.749203E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.912652E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.031843E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.170296E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.273853E-2,0.000000E+0,0.000000E+0,0.000000E+0
