Time: 2025/01/27 14:02:31
Temp (K), Mag (T), Start Mhz, Stop Mhz, Step Mhz, Cnt
0.000000E+0, 8.619282E-1, 3.000000E-1, 8.500000E+3, 8.499700E+3, 2001
S11,S21,S12,S22
-6.498958E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.315582E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.892061E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.622007E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.337995E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.160651E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.944972E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.860561E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.727678E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.648757E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.699409E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.669797E-2,0.000000E+0,0.000000E+0,0.000000E+0
-2.831539E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.060560E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.341484E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.582395E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.793642E-2,0.000000E+0,0.000000E+0,0.000000E+0
-3.868709E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.024661E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.139184E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.264847E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.428382E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.532831E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.698782E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.844415E-2,0.000000E+0,0.000000E+0,0.000000E+0
-4.960354E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.091635E-2,0.000000E+0,0.000000E+0,0.000000E+0
-5.177328E-2,0.000000E+0,0.000000E+0,0.000000E+0
